Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,draft_year
1,1,NJN,Derrick Coleman,Syracuse,15,781,25903,12884,7232,1985,.447,.295,.769,33.2,16.5,9.3,2.5,64.3,.119,1.4,22.3,1990
2,2,SEA,Gary Payton,Oregon State,17,1335,47117,21813,5269,8966,.466,.317,.729,35.3,16.3,3.9,6.7,145.5,.148,3.3,62.5,1990
3,3,DEN,Mahmoud Abdul-Rauf,LSU,9,586,15628,8553,1087,2079,.442,.354,.905,26.7,14.6,1.9,3.5,25.2,.077,-0.8,4.5,1990
4,4,ORL,Dennis Scott,Georgia Tech,10,629,17983,8094,1774,1296,.417,.397,.793,28.6,12.9,2.8,2.1,33.4,.089,0.2,9.9,1990
5,5,CHH,Kendall Gill,Illinois,15,966,29481,12914,4002,2945,.434,.300,.754,30.5,13.4,4.1,3.0,47.8,.078,0.1,15.8,1990
6,6,MIN,Felton Spencer,Louisville,12,640,12298,3354,3436,213,.484,.000,.658,19.2,5.2,5.4,0.3,20.9,.081,-4.3,-7.0,1990
7,7,SAC,Lionel Simmons,La Salle,7,454,13472,5833,2833,1498,.433,.305,.771,29.7,12.8,6.2,3.3,16.9,.060,0.0,6.7,1990
8,8,LAC,Bo Kimble,Loyola Marymount,3,105,1336,574,162,98,.386,.291,.728,12.7,5.5,1.5,0.9,0.1,.004,-5.7,-1.2,1990
9,9,MIA,Willie Burton,Minnesota,8,316,6666,3243,932,393,.424,.345,.786,21.1,10.3,2.9,1.2,9.1,.065,-2.5,-0.9,1990
10,10,ATL,Rumeal Robinson,Michigan,6,336,6098,2546,606,1179,.432,.344,.611,18.1,7.6,1.8,3.5,5.2,.041,-1.5,0.8,1990
11,11,GSW,Tyrone Hill,Xavier,14,801,22388,7532,6854,647,.502,.000,.643,28.0,9.4,8.6,0.8,56.2,.120,-1.9,0.8,1990
12,12,HOU,Alec Kessler,Georgia,4,210,2937,1084,751,81,.426,.417,.744,14.0,5.2,3.6,0.4,2.0,.033,-5.9,-2.8,1990
13,13,LAC,Loy Vaught,Michigan,11,689,16993,6984,4881,652,.504,.244,.718,24.7,10.1,7.1,0.9,35.8,.101,-1.5,2.2,1990
14,14,SAC,Travis Mays,Texas,3,115,2964,1273,233,326,.410,.362,.749,25.8,11.1,2.0,2.8,2.4,.039,-2.6,-0.5,1990
15,15,MIA,Dave Jamerson,Ohio University,3,90,594,306,77,61,.392,.277,.860,6.6,3.4,0.9,0.7,0.2,.018,-3.9,-0.3,1990
16,16,MIL,Terry Mills,Michigan,11,678,16422,7175,3680,891,.457,.384,.781,24.2,10.6,5.4,1.3,33.3,.097,-0.6,5.9,1990
17,17,NYK,Jerrod Mustaf,Maryland,4,179,1902,721,452,99,.449,.000,.648,10.6,4.0,2.5,0.6,1.7,.043,-4.1,-1.0,1990
18,18,SAC,Duane Causwell,Temple,11,541,9409,2648,2273,243,.507,.286,.618,17.4,4.9,4.2,0.4,15.8,.081,-2.3,-0.7,1990
19,19,BOS,Dee Brown,Jacksonville University,12,608,16843,6758,1569,2227,.436,.357,.825,27.7,11.1,2.6,3.7,33.4,.095,0.8,11.6,1990
20,20,MIN,Gerald Glass,Ole Miss,4,201,3347,1553,512,298,.433,.236,.643,16.7,7.7,2.5,1.5,1.8,.025,-1.9,0.1,1990
21,21,PHO,Jayson Williams,St. John's,9,475,9805,3472,3584,287,.440,.125,.606,20.6,7.3,7.5,0.6,20.0,.098,-2.8,-2.1,1990
22,22,NJN,Tate George,UConn,4,177,2019,736,180,325,.414,.071,.820,11.4,4.2,1.0,1.8,1.3,.032,-3.5,-0.8,1990
23,23,SAC,Anthony Bonner,Saint Louis,6,318,7372,2199,1726,442,.468,.125,.590,23.2,6.9,5.4,1.4,10.8,.070,-2.0,0.1,1990
24,24,SAS,Dwayne Schintzius,Florida,8,217,1950,587,536,93,.404,.125,.638,9.0,2.7,2.5,0.4,1.0,.024,-5.0,-1.5,1990
25,25,POR,Alaa Abdelnaby,Duke,5,256,3200,1465,846,85,.502,.000,.701,12.5,5.7,3.3,0.3,4.8,.072,-3.8,-1.5,1990
26,26,DET,Lance Blanks,Texas,3,142,1045,289,110,117,.436,.253,.667,7.4,2.0,0.8,0.8,0.7,.031,-3.2,-0.3,1990
27,27,LAL,Elden Campbell,Clemson,15,1044,25776,10805,6116,1199,.460,.054,.699,24.7,10.3,5.9,1.1,62.8,.117,-0.5,9.5,1990
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1990
28,28,GSW,Les Jepsen,Iowa,2,52,192,53,67,2,.333,.000,.650,3.7,1.0,1.3,0.0,0.1,.031,-8.0,-0.3,1990
29,29,CHI,Toni Kukoč,,13,846,22212,9810,3555,3119,.447,.335,.729,26.3,11.6,4.2,3.7,59.6,.129,2.8,27.2,1990
30,30,MIA,Carl Herrera,Houston,8,465,8042,2481,1690,261,.476,.143,.643,17.3,5.3,3.6,0.6,9.0,.054,-3.7,-3.4,1990
31,31,PHO,Negele Knight,Dayton,6,276,4513,1699,351,780,.436,.263,.730,16.4,6.2,1.3,2.8,4.2,.044,-3.0,-1.1,1990
32,32,PHI,Brian Oliver,Georgia Tech,4,118,1182,389,123,114,.388,.227,.705,10.0,3.3,1.0,1.0,-0.5,-.020,-5.9,-1.2,1990
33,33,UTA,Walter Palmer,Dartmouth College,2,48,209,100,65,11,.412,.000,.667,4.4,2.1,1.4,0.2,-0.1,-.013,-6.7,-0.2,1990
34,34,GSW,Kevin Pritchard,Kansas,4,94,1125,340,90,152,.399,.186,.790,12.0,3.6,1.0,1.6,0.4,.017,-4.0,-0.6,1990
35,35,WSB,Greg Foster,Texas-El Paso,13,656,7974,2538,1691,351,.440,.225,.748,12.2,3.9,2.6,0.5,5.6,.033,-5.5,-7.0,1990
36,36,ATL,Trevor Wilson,UCLA,4,103,1609,591,353,99,.456,.000,.567,15.6,5.7,3.4,1.0,0.8,.023,-3.4,-0.6,1990
37,37,WSB,A.J. English,Virginia Union University,2,151,3108,1502,315,320,.435,.138,.778,20.6,9.9,2.1,2.1,1.1,.017,-3.9,-1.5,1990
38,38,SEA,Jud Buechler,Arizona,12,720,8444,2385,1266,560,.433,.366,.633,11.7,3.3,1.8,0.8,16.5,.094,-0.1,4.0,1990
39,39,CHH,Steve Scheffler,Purdue,7,174,918,331,180,26,.558,.200,.759,5.3,1.9,1.0,0.1,2.9,.153,-1.9,0.0,1990
40,40,SAC,Bimbo Coles,Virginia Tech,14,852,20319,6628,1820,3313,.425,.267,.811,23.8,7.8,2.1,3.9,27.4,.065,-1.6,1.9,1990
41,41,ATL,Steve Bardo,Illinois,3,33,299,73,60,44,.329,.100,.696,9.1,2.2,1.8,1.3,-0.1,-.020,-4.0,-0.2,1990
42,42,DEN,Marcus Liberty,Illinois,4,267,4568,1942,925,244,.417,.340,.664,17.1,7.3,3.5,0.9,4.0,.042,-2.6,-0.7,1990
43,43,SAS,Tony Massenburg,Maryland,13,683,12291,4238,2964,266,.470,.091,.705,18.0,6.2,4.3,0.4,15.6,.061,-4.5,-7.8,1990
44,44,MIL,Steve Henson,Kansas State,7,238,2282,739,176,465,.403,.432,.869,9.6,3.1,0.7,2.0,3.8,.079,-1.8,0.1,1990
45,45,IND,Antonio Davis,Texas-El Paso,13,903,26084,9041,6755,1017,.448,.087,.727,28.9,10.0,7.5,1.1,59.6,.110,-1.3,4.4,1990
46,46,IND,Kenny Williams,Elizabeth City State University,4,260,2918,1247,693,161,.511,.000,.680,11.2,4.8,2.7,0.6,7.4,.122,0.1,1.5,1990
47,47,PHI,Derek Strong,Xavier,10,456,8548,3088,2213,291,.430,.180,.786,18.7,6.8,4.9,0.6,18.5,.104,-2.1,-0.3,1990
48,48,PHO,Cedric Ceballos,Cal State Fullerton,11,609,14712,8693,3258,723,.500,.309,.753,24.2,14.3,5.3,1.2,40.4,.132,0.7,10.1,1990
50,50,PHO,Miloš Babić,Tennessee Technological University,2,21,87,37,20,10,.375,,.650,4.1,1.8,1.0,0.5,-0.1,-.028,-5.9,-0.1,1990
51,51,LAL,Tony Smith,Marquette,9,457,7295,2504,735,881,.431,.307,.690,16.0,5.5,1.6,1.9,6.7,.044,-2.0,0.0,1990
52,52,CLE,Stefano Rusconi,,1,7,30,8,6,3,.333,,.400,4.3,1.1,0.9,0.4,-0.1,-.104,-11.4,-0.1,1990
54,54,SAS,Sean Higgins,Michigan,6,220,3334,1375,402,226,.428,.321,.850,15.2,6.3,1.8,1.0,0.4,.006,-4.7,-2.3,1990
1,1,CHH,Larry Johnson,UNLV,10,707,25685,11450,5300,2298,.484,.332,.766,36.3,16.2,7.5,3.3,69.7,.130,1.4,22.0,1991
2,2,NJN,Kenny Anderson,Georgia Tech,14,858,25868,10789,2641,5196,.421,.346,.790,30.1,12.6,3.1,6.1,62.5,.116,1.4,21.9,1991
3,3,SAC,Billy Owens,Syracuse,10,600,17619,7026,4016,1704,.481,.291,.629,29.4,11.7,6.7,2.8,28.6,.078,-0.2,7.8,1991
4,4,DEN,Dikembe Mutombo,Georgetown,18,1196,36791,11729,12359,1240,.518,.000,.684,30.8,9.8,10.3,1.0,117.0,.153,1.7,33.9,1991
5,5,MIA,Steve Smith,Michigan State,14,942,28855,13430,3060,2922,.440,.358,.845,30.6,14.3,3.2,3.1,83.7,.139,1.4,24.6,1991
6,6,DAL,Doug Smith,Missouri,5,296,5833,2356,1234,400,.425,.083,.773,19.7,8.0,4.2,1.4,3.0,.024,-3.6,-2.4,1991
7,7,MIN,Luc Longley,New Mexico,10,567,12006,4090,2794,836,.462,.000,.760,21.2,7.2,4.9,1.5,17.5,.070,-2.6,-1.9,1991
8,8,DEN,Mark Macon,Temple,6,251,5018,1685,467,428,.384,.270,.735,20.0,6.7,1.9,1.7,0.1,.001,-3.7,-2.2,1991
9,9,ATL,Stacey Augmon,UNLV,15,1001,21658,7990,3216,1561,.469,.152,.728,21.6,8.0,3.2,1.6,43.8,.097,-0.2,9.8,1991
10,10,ORL,Bison Dele,Arizona,8,413,10004,4536,2564,440,.528,.143,.691,24.2,11.0,6.2,1.1,22.8,.109,-0.6,3.4,1991
11,11,CLE,Terrell Brandon,Oregon,11,724,21545,9994,2174,4407,.448,.355,.873,29.8,13.8,3.0,6.1,65.9,.147,3.6,30.3,1991
12,12,NYK,Greg Anthony,UNLV,11,757,15850,5497,1417,2997,.403,.349,.733,20.9,7.3,1.9,4.0,35.9,.109,1.3,13.3,1991
13,13,IND,Dale Davis,Clemson,16,1094,29606,8706,8605,978,.530,.000,.562,27.1,8.0,7.9,0.9,86.9,.141,0.5,18.4,1991
14,14,SEA,Rich King,Nebraska,4,72,309,135,74,21,.393,.000,.662,4.3,1.9,1.0,0.3,0.2,.036,-6.9,-0.4,1991
15,15,ATL,Anthony Avent,Seton Hall,6,352,6729,1958,1584,278,.403,.000,.686,19.1,5.6,4.5,0.8,0.3,.002,-5.7,-6.4,1991
16,16,GSW,Chris Gatling,Old Dominion,11,700,13760,7232,3741,461,.513,.249,.660,19.7,10.3,5.3,0.7,32.1,.112,-1.1,3.2,1991
17,17,GSW,Victor Alexander,Iowa State,5,286,5755,2542,1384,257,.518,.286,.634,20.1,8.9,4.8,0.9,8.8,.073,-2.2,-0.3,1991
18,18,MIL,Kevin Brooks,Louisiana,3,126,1031,417,141,48,.401,.200,.859,8.2,3.3,1.1,0.4,-0.1,-.004,-5.9,-1.0,1991
19,19,WSB,LaBradford Smith,Louisville,3,183,3131,1218,271,394,.432,.298,.813,17.1,6.7,1.5,2.2,1.5,.024,-3.6,-1.2,1991
20,20,HOU,John Turner,Phillips University,1,42,345,117,78,12,.439,,.525,8.2,2.8,1.9,0.3,-0.1,-.021,-7.9,-0.5,1991
21,21,UTA,Eric Murdock,Providence,9,508,11882,5118,1261,2467,.438,.343,.786,23.4,10.1,2.5,4.9,25.6,.103,2.0,12.1,1991
22,22,LAC,LeRon Ellis,Syracuse,3,91,857,277,220,29,.433,,.613,9.4,3.0,2.4,0.3,1.2,.069,-3.5,-0.3,1991
23,23,ORL,Stanley Roberts,LSU,8,300,5869,2555,1549,189,.499,.000,.514,19.6,8.5,5.2,0.6,8.1,.066,-3.4,-2.0,1991
24,24,BOS,Rick Fox,UNC,13,930,23723,8966,3517,2649,.450,.349,.770,25.5,9.6,3.8,2.8,44.7,.090,0.0,11.7,1991
26,26,CHI,Mark Randall,Kansas,4,127,883,332,160,56,.443,.154,.722,7.0,2.6,1.3,0.4,1.0,.054,-3.3,-0.3,1991
27,27,SAC,Pete Chilcutt,UNC,9,584,8394,2494,1935,488,.441,.381,.696,14.4,4.3,3.3,0.8,10.6,.060,-1.8,0.3,1991
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1991
28,28,CHH,Kevin Lynch,Minnesota,2,95,1143,310,120,108,.436,.333,.726,12.0,3.3,1.3,1.1,0.4,.016,-4.4,-0.7,1991
30,30,ATL,Rodney Monroe,NC State,1,38,313,131,33,27,.368,.222,.826,8.2,3.4,0.9,0.7,-0.2,-.035,-5.3,-0.3,1991
31,31,SAC,Randy Brown,New Mexico State,12,655,11533,3148,1173,1420,.417,.200,.691,17.6,4.8,1.8,2.2,11.0,.046,-1.9,0.2,1991
32,32,PHO,Chad Gallagher,Creighton,1,2,3,6,0,0,1.000,,,1.5,3.0,0.0,0.0,0.1,1.442,30.1,0.0,1991
33,33,DAL,Donald Hodge,Temple,5,249,3501,1182,809,191,.437,.286,.711,14.1,4.7,3.2,0.8,1.8,.025,-4.2,-1.9,1991
34,34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1,4,23,9,3,6,.667,.333,,5.8,2.3,0.8,1.5,0.0,.032,-1.8,0.0,1991
35,35,DAL,Mike Iuzzolino,Saint Francis University,2,122,3049,1096,238,522,.457,.404,.798,25.0,9.0,2.0,4.3,3.7,.058,-1.9,0.1,1991
36,36,ORL,Chris Corchiani,NC State,3,112,1313,416,129,243,.421,.269,.816,11.7,3.7,1.2,2.2,1.6,.058,-1.8,0.1,1991
37,37,LAC,Elliot Perry,Memphis,10,549,9501,3449,742,1699,.459,.359,.783,17.3,6.3,1.4,3.1,14.0,.071,-0.5,3.6,1991
39,39,CLE,Jimmy Oliver,Purdue,5,78,856,331,80,55,.407,.340,.772,11.0,4.2,1.0,0.7,0.3,.018,-4.7,-0.6,1991
40,40,DET,Doug Overton,La Salle,11,499,7275,2253,654,1038,.412,.319,.816,14.6,4.5,1.3,2.1,2.5,.016,-3.9,-3.5,1991
41,41,IND,Sean Green,Iona College,3,84,671,352,85,45,.386,.246,.620,8.0,4.2,1.0,0.5,-1.3,-.095,-7.0,-0.8,1991
